image_path,original_class,label
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_1096.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_849_BR_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/M_863_BR_.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/M_876_VF_.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/Te-no_0283.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/P_826_BR_.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/Tr-no_0540.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0809.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/image(158) - Copy.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/M_827_BR_.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Te-me_0163.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_1209.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/P_831_VF_.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/Tr-no_0389.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/P_759_SP_.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_769_RO_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/1683.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0125.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_814_BR_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0383.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0303.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0133.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_1025.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0897.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/image(19).jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_724_VF_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0820.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Te-me_0289.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_800_HF_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_774_VF_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_0543.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/p (596).jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_773_VF_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/M_861_VF_.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/P_785_SP_.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/P_762.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_1051.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_850_VF_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0345.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_867_DA_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/N_422_VF_.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_0627.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_0639.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/Tr-no_0671.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/gg (448).jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_756_VF_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/p (491).jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0918.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_770_RO_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_0237.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Te-gl_0089.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_1205.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_0701.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0526.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/M_838_SP_.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/M_865.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_1136.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/1386.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0538.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0265.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/Te-no_0247.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0456.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_863_VF_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_708.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_826_RO_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_0371.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0064.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_832_HF_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/Tr-no_0596.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_1227.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/M_870_VF_.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/gg (465).jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/m2 (98).jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/P_819_RO_.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_1156.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/gg (564).jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/1691.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Te-gl_0141.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0192.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/m3 (101).jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0312.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0108.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/Tr-no_0694.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_770.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/M_842_DA_.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_871_SP_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0992.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0196.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0618.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/1606.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_1372.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/Tr-no_0199.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/M_847_BR_.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/N_39.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_787_HF_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/N_374_SP_.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/N_402.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/N_404_HF_.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/M_829_BR_.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_0667.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0279.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0035.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0566.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/P_747_HF_.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/M_871_SP_.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0161.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_855_RO_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_1054.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_710_RO_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/N_399_BR_.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Te-gl_0228.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/P_820_DA_.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/1423.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0877.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/N_56_SP_.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/1410.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_0680.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/Tr-no_0555.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/N_375_BR_.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_708_HF_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0620.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/1350.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/image(70).jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0343.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/Tr-no_0644.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0848.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0140.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/P_767_RO_.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0372.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_0991.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/Tr-gl_0037.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_715_RO_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_1073.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/N_52_BR_.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Te-me_0126.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/image(154) - Copy.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_0948.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/p (482).jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/P_717_HF_.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_864_DA_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/P_728_SP_.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_0539.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/Tr-no_0140.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Te-me_0191.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/1754.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_834.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_0618.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/notumor/N_379_DA_.jpg,notumor,0
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0824.jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/glioma/G_739_VF_.jpg,glioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/pituitary/Tr-pi_0650.jpg,pituitary,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/m3 (167).jpg,meningioma,1
/content/drive/MyDrive/Brain_Tumor_CNN_Project/dataset/Epic and CSCR hospital Dataset/Train/meningioma/Tr-me_0761.jpg,meningioma,1
